Re-Entry Support Services,Resource/Organization Name,Location in IL (City),Address,Phone number,Contact Person at Org,Email ,URL,Description,Restrictions/ Considerations,LGBTQ friendly?,Ex-Offenders ok?,Sex offenders ok?,Habla espanol?
,Reentry Services for Returning Citizens (Lutheran Social Services of Illinois),Des Plaines,"1001 E. Touhy Ave. #50 
Des Plaines, IL 60018",618-997-9076 ext. 861,,michael.davis@lssi.org,https://www.lssi.org/prisoner-family-ministry/pfm-reentry-services-returning-citizens.php,"Offers information and referral services, Employment Skills School, Green Reentry Opportunities (working in community gardens), and other supportive services from local churches.",,,,,
,Roosevelt University Life Skills Re-entry Program,Chicago,"Roosevelt University Gage Building
18 S. Michigan Ave.
 Room 314
Chicago, IL 60603",312-281-3370,,,https://www.roosevelt.edu/colleges/human-community-renewal,"Offers life skills instruction, case management services, employment help, education advice, and bus vouchers. Hours of operation: 8:30am to 4:30pm. For assistance, please call 312-281-3370 for an intake appointment. ",,,,,
,Safer Foundation,Chicago,"571 W. Jackson 
Chicago, IL 60661","312-922-2200, 309-786-7711",,,saferfoundation.org/,"Comprehensive service organization, offering employment, education, and support services.",,,,,
,Target Area Development Corporation’s Community Support and Advisory Council (CSAC),Chicago,"1542 West 79th Street
Chicago, IL 60620",773.651.6470; 773.723.8597; 773.723.0904,,,,Goal is to create relationships with reentering prisoners and their families in an effort to define barriers to reentry and to inform policy campaigns aimed at this population.,,,,,
,Under the Door Prison Ministry, Park Ridge,"1006 Gillick St
 Park Ridge, IL 60068",847-823-3634,,,,Prison ministry group connects formerly incarcerated people with churches. Holds weekly bible study for formerly incarcerated people in Chicago. ,,,,,
,7-70 Reentry Services,Brookfield,"9146 Lincoln Avenue
Brookfield, IL 60513",708-680-7075,,,ilreentryresources.com/,"A faith-based non-profit that offers mentoring, employment, counseling, and case management services. ",,,,,
,Agape Missions,Joliet,"840 Plainfield Rd
(Rt 30)
Joliet, IL 60435",815-723-1548 ext. 21,,,agapemissionsnfp.org,"Services include mental health assessments, substance abuse services, anger management workshops, employment assistance, record expungement/sealing workshops.",,,,,
,Employability Development Program - Southern Illinois University Rehabilitation Institute,Southern IL,"Southern Illinois (Traveling
program)",618-453-6955,,monetcw@siu.edu,"ehs.siu.edu/rehab/service-programs/
employability.php","Provides assistance in gaining employment skills, developing vocational and educational plans, and preparing for employment.",For people on parole only.,,,,
,First Followers,Champaign,"Bethel AME Church
401 E. Park St.
Champaign, IL 61820",(217) 356-0323,,FirstFollowersCU@gmail.com,"
firstfollowersreentry.com/","Drop-in center for peer mentoring, employment assistance, advocacy for people with felony convictions, family reunification, and service referrals. No religious affiliation.",,,,,
,Hope Center ,Urbana,"1802 N Lincoln Ave.
Urbana, IL 61802",217-607-5654,,,urbana.thevineyardchurch.us/ministry/hope-center/,"Works with returning citizens, providing one-on-one coaching, a food pantry, medical resources, and other support to help people get onto their feet.",,,,,
,Rosencrance,Champaign,"1801 Fox Drive 
Champaign, IL 61820",217-398-8080 ext. 1289,,,,Offers reentry case management and help with finding employment.,,,,,
,Ink 180,Oswego," 27 Stonehill RD,
Unit D
Oswego, IL 60543",630-554-1404,,chris@ink180.com,ink180.com/contact-us/,INK 180 covers tattoos left from a former life in a gang.,,,,,
